Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6579b2cdaf44d8e28769acd0,54,APPROVED,2023-12-13T13:34:05.611000Z,2023-12-13T14:39:35.834000Z,2023-12-21T11:46:49.226000Z,2023-12-13T14:39:36.367801Z,3931,NOCODE,97,18,Male,White,Poland,Poland,Poland,Polish,Yes,Part-Time
6579b2d3043880db8e7a4459,31,APPROVED,2023-12-13T13:45:00.082000Z,2023-12-21T10:37:04.961000Z,2023-12-21T10:37:05.573000Z,2024-01-15T13:07:15.237866Z,679925,Manual Completion,728,28,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time
6579b2d6043880db8e7a445a,35,APPROVED,2023-12-13T13:34:14.582000Z,2023-12-13T13:54:29.529000Z,2023-12-21T11:34:56.744000Z,2023-12-13T13:54:30.039702Z,1215,CHXXFLVG,101,21,Male,White,Poland,Poland,Poland,Polish,Yes,Part-Time
6579b2d6fbd1032557c2cfbd,32,APPROVED,2023-12-13T13:34:26.362000Z,2023-12-13T13:57:02.839000Z,2023-12-21T11:00:01.081000Z,2023-12-13T13:57:04.094566Z,1357,CHXXFLVG,1091,25,Female,White,Italy,Italy,Italy,Italian,Yes,Other
6579b2d71ea98ccc90f647b2,37,APPROVED,2023-12-13T13:34:44.631000Z,2023-12-13T13:56:17.687000Z,2023-12-21T11:02:06.431000Z,2023-12-13T13:56:18.217383Z,1294,CHXXFLVG,2949,30,Male,White,Hungary,Hungary,Hungary,English,Yes,Full-Time
6579b2e6c8bb87786146d4da,30,APPROVED,2023-12-13T13:34:30.642000Z,2023-12-13T14:05:21.091000Z,2023-12-21T11:33:23.293000Z,2023-12-13T14:05:21.769950Z,1851,CHXXFLVG,81,33,Male,Mixed,Denmark,Denmark,Sweden,Danish,Yes,Full-Time
6579b2e9e3216917e0ecdb3c,39,APPROVED,2023-12-13T13:34:37.292000Z,2023-12-13T14:12:18.013000Z,2023-12-21T10:44:09.131000Z,2023-12-13T14:12:18.461612Z,2261,CHXXFLVG,229,30,Male,White,Italy,Italy,Italy,Italian,Yes,Full-Time
6579b307fab001790e43bd8b,36,APPROVED,2023-12-13T13:35:15.797000Z,2023-12-13T13:47:01.405000Z,2023-12-21T10:52:44.021000Z,2023-12-13T13:47:02.198120Z,706,CHXXFLVG,672,26,Female,White,Italy,Italy,Italy,Italian,No,Unemployed (and job seeking)
6579b30faf02488d0428c088,29,APPROVED,2023-12-13T13:35:11.140000Z,2023-12-13T13:58:37.826000Z,2023-12-21T10:48:52.213000Z,2023-12-13T13:58:38.331975Z,1407,CHXXFLVG,218,34,Male,Asian,South Africa,South Africa,South Africa,English,No,Full-Time
6579b9033a48a325d64888a1,38,APPROVED,2023-12-13T14:00:47.516000Z,2023-12-13T14:38:37.184000Z,2023-12-21T11:15:44.794000Z,2023-12-13T14:38:37.708059Z,2270,CHXXFLVG,356,22,Female,Black,South Africa,South Africa,South Africa,English,Yes,Other
6579c05d05adea30dca2b771,34,APPROVED,2023-12-13T14:32:31.154000Z,2023-12-13T14:48:02.306000Z,2023-12-21T10:55:12.219000Z,2023-12-13T14:48:02.761952Z,932,CHXXFLVG,744,31,Male,White,Canada,Canada,Canada,English,No,Unemployed (and job seeking)
6579c570342785b0083eb8e4,33,APPROVED,2023-12-13T14:53:48.756000Z,2023-12-13T14:55:12.933000Z,2023-12-21T11:18:12.705000Z,2023-12-13T14:55:13.375716Z,85,CHXXFLVG,157,23,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
6579d518cc3dff37be64140a,41,APPROVED,2023-12-13T16:00:27.070000Z,2023-12-13T16:11:58.060000Z,2023-12-21T10:50:46.444000Z,2023-12-13T16:11:58.574428Z,691,CHXXFLVG,314,30,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
657b1fb8adeaa4935404945f,40,APPROVED,2023-12-14T15:31:07.641000Z,2023-12-14T15:56:52.497000Z,2023-12-21T11:06:00.434000Z,2023-12-14T15:56:52.905232Z,1545,CHXXFLVG,642,21,Female,White,Greece,Greece,Greece,Greek,Yes,Unemployed (and job seeking)
6581b2b2a0b174e89de57d46,42,APPROVED,2023-12-19T15:11:50.380000Z,2023-12-19T15:21:56.652000Z,2023-12-21T10:57:19.647000Z,2023-12-19T15:21:57.278655Z,607,CHXXFLVG,1532,35,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6581bba5732670f72dffe066,43,APPROVED,2023-12-19T15:51:07.404000Z,2023-12-19T16:08:26.691000Z,2023-12-21T11:08:40.530000Z,2023-12-19T16:08:27.191590Z,1040,CHXXFLVG,990,26,Female,White,Poland,Poland,Poland,Polish,No,Full-Time
6581c04a95bdec448582d40d,44,APPROVED,2023-12-19T16:09:50.628000Z,2023-12-19T16:45:13.056000Z,2023-12-19T16:58:52.640000Z,2023-12-19T16:45:13.523631Z,2123,CHXXFLVG,1192,39,Male,Mixed,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6582bd02f589bcdb99bc0907,46,APPROVED,2023-12-20T10:08:07.594000Z,2023-12-20T10:28:03.574000Z,2023-12-21T11:04:20.108000Z,2023-12-20T10:28:04.002364Z,1196,CHXXFLVG,7006,27,Male,White,United States,United States,United States,English,Yes,Full-Time
6582c10ab8ed7532ece53f3d,49,APPROVED,2023-12-20T10:25:50.983000Z,2023-12-20T10:43:51.869000Z,2023-12-21T11:25:00.060000Z,2023-12-20T10:43:52.352994Z,1081,CHXXFLVG,952,49,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6582ca659a69bd17a1a5d279,48,APPROVED,2023-12-20T11:05:53.737000Z,2023-12-20T11:42:31.804000Z,2023-12-21T11:46:02.211000Z,2023-12-20T11:42:32.365850Z,2199,CHXXFLVG,50,39,Female,Mixed,Australia,Australia,Australia,English,No,Full-Time
6582d64ac45de8ba5282c73a,51,APPROVED,2023-12-20T11:55:57.143000Z,2023-12-20T12:18:43.968000Z,2023-12-21T11:20:40.995000Z,2023-12-20T12:18:44.757130Z,1367,CHXXFLVG,1412,24,Female,Asian,United Kingdom,United Kingdom,United Kingdom,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6582d9386ac8a33400ddf995,52,APPROVED,2023-12-20T12:11:22.211000Z,2023-12-20T12:31:49.746000Z,2023-12-21T11:22:22.021000Z,2023-12-20T12:31:50.250391Z,1228,CHXXFLVG,928,42,Female,White,Germany,Germany,Germany,German,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65830786c6e655dc26a4261e,50,APPROVED,2023-12-20T15:26:05.707000Z,2023-12-20T15:55:19.274000Z,2023-12-21T11:28:28.800000Z,2023-12-20T15:55:19.857840Z,1754,CHXXFLVG,1010,37,Male,Mixed,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65833e27763267f923446175,47,APPROVED,2023-12-20T19:19:06.980000Z,2023-12-20T19:58:03.385000Z,2023-12-21T11:14:02.868000Z,2023-12-20T19:58:04.052273Z,2337,CHXXFLVG,51,23,Female,Asian,Ireland,Ireland,Ireland,English,No,Full-Time