Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Sexual orientation,Cisgender and transgender,Gender,Lgbtq+,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
656602a693f788ae9dffdbea,60c0ed7d2fbe3e53bca9866a,APPROVED,2023-11-28T15:09:26.265000Z,2023-11-28T15:48:54.478000Z,2023-12-06T11:06:45.494000Z,2023-11-28T15:48:55.002682Z,2369.0,NOCODE,141,heterosexual,No,Woman (including Trans Female/Trans Woman),No,24,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Unemployed (and job seeking)
656602be65759caefbbd1bd0,615ae3c2462dcbab1d3af8d3,APPROVED_PH1,2023-11-28T15:10:28.506000Z,2023-11-28T15:59:05.902000Z,2023-12-06T09:16:53.411000Z,2023-11-28T15:59:06.586759Z,2918.0,NOCODE,203,heterosexual,No,Woman (including Trans Female/Trans Woman),No,33,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
65660591375233c4923d9d84,610a5f883d6841e65838f97d,APPROVED,2023-11-28T15:21:57.287000Z,2023-11-28T15:46:59.784000Z,2023-12-06T11:12:22.809000Z,2023-11-28T15:47:00.167850Z,1503.0,NOCODE,201,heterosexual,No,Woman (including Trans Female/Trans Woman),No,27,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
65660f5a1d177cd7ddaada3c,5c43750c26217400018c1d69,APPROVED,2023-11-28T16:04:41.394000Z,2023-11-28T16:15:26.385000Z,2023-12-06T11:00:54.098000Z,2023-11-28T16:15:27.918449Z,645.0,NOCODE,895,heterosexual,No,Woman (including Trans Female/Trans Woman),No,27,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
65673118c0da06192bf834a0,64e8a9da9077e59fb9173016,APPROVED,2023-11-29T12:40:00.264000Z,2023-11-29T13:34:52.185000Z,2023-12-07T16:47:34.404000Z,2023-11-29T13:34:53.199486Z,3292.0,NOCODE,76,heterosexual,No,Woman (including Trans Female/Trans Woman),No,28,Female,Black,Zimbabwe,South Africa,Zimbabwe,English,Yes,Full-Time
656d98aca68a2c317817f77c,609e5698a6b5c3ff5a7632bc,APPROVED,2023-12-04T09:15:26.226000Z,2023-12-04T09:35:33.308000Z,2023-12-12T11:43:10.498000Z,2023-12-04T09:35:34.138517Z,1208.0,NOCODE,370,heterosexual,No,Woman (including Trans Female/Trans Woman),No,27,Female,White,Italy,Portugal,Portugal,Portuguese,Yes,Part-Time
656d9e7ec7a413e29881872d,6505e90a3ea83031f55ee535,APPROVED,2023-12-04T09:40:14.611000Z,2023-12-04T10:32:35.133000Z,2023-12-12T12:54:22.138000Z,2023-12-04T10:32:35.764779Z,3141.0,NOCODE,134,heterosexual,No,Woman (including Trans Female/Trans Woman),No,50,Female,White,Poland,Poland,Poland,Polish,Yes,Full-Time
656da333d6d0333020f72593,63dba7f5878fe280d1be7949,APPROVED,2023-12-04T10:01:19.783000Z,2023-12-04T10:33:44.850000Z,2023-12-12T12:38:29.246000Z,2023-12-04T10:33:45.351535Z,1946.0,NOCODE,685,heterosexual,No,Woman (including Trans Female/Trans Woman),No,49,Female,Black,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
656da9522ab9d0b5bb7c19ac,647e5f4c5b7dfbc365335f72,APPROVED,2023-12-04T10:28:35.300000Z,2023-12-04T11:51:40.208000Z,2023-12-12T12:49:45.622000Z,2023-12-04T11:51:40.777083Z,4985.0,NOCODE,212,heterosexual,No,Woman (including Trans Female/Trans Woman),No,54,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
656dae38580212d9a970f6da,5b3f242f9c2ec600014ef9fc,APPROVED,2023-12-04T10:53:54.880000Z,2023-12-04T11:22:31.393000Z,2023-12-12T11:12:26.132000Z,2023-12-04T11:22:31.892524Z,1717.0,5b3f242f9c2ec600014ef9fc,916,heterosexual,No,Woman (including Trans Female/Trans Woman),No,43,Female,White,Italy,Italy,Italy,English,No,Full-Time
656db3c1e6a670d2ee6a658d,5be84b9a40b06b0001370c9f,APPROVED,2023-12-04T11:11:28.447000Z,2023-12-04T11:26:38.069000Z,2023-12-12T11:16:59.457000Z,2023-12-04T11:26:38.555657Z,910.0,NOCODE,422,heterosexual,No,Woman (including Trans Female/Trans Woman),No,24,Female,White,Spain,Spain,Spain,Spanish,No,Unemployed (and job seeking)
656dc966d415d58032978fcd,5e9c3ff1cf719d151612648f,APPROVED,2023-12-04T12:43:18.474000Z,2023-12-04T14:03:28.913000Z,2023-12-12T11:29:46.145000Z,2023-12-04T14:03:29.665081Z,4811.0,NOCODE,886,heterosexual,No,Woman (including Trans Female/Trans Woman),No,54,Female,White,Italy,Italy,Italy,Italian,No,Due to start a new job within the next month
656de070cc44535a54947b01,5c4b06903566570001309394,APPROVED,2023-12-04T14:22:15.358000Z,2023-12-04T14:44:17.339000Z,2023-12-12T11:21:24.709000Z,2023-12-04T14:44:17.797615Z,1322.0,NOCODE,688,heterosexual,No,Woman (including Trans Female/Trans Woman),No,23,Female,White,Slovenia,Slovenia,Slovenia,Slovenian,Yes,Full-Time
656de3e652e49048db40d281,5af4813048ecff00013534d9,APPROVED,2023-12-04T14:37:07.084000Z,2023-12-04T14:54:09.517000Z,2023-12-12T11:05:00.309000Z,2023-12-04T14:54:10.074805Z,1023.0,NOCODE,606,heterosexual,No,Woman (including Trans Female/Trans Woman),No,48,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
656de5a186d23335a2c7d595,617406fbfced12169896d158,APPROVED,2023-12-04T14:44:03.771000Z,2023-12-04T15:20:53.200000Z,2023-12-12T12:25:06.392000Z,2023-12-04T15:20:53.713135Z,2210.0,NOCODE yet,1563,heterosexual,No,Woman (including Trans Female/Trans Woman),No,58,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
656de7b5c5b00aa256de849f,5fdcad62eed16d2504b27f5a,APPROVED,2023-12-04T14:52:50.673000Z,2023-12-04T15:35:49.295000Z,2023-12-12T11:33:52.187000Z,2023-12-04T15:35:49.797724Z,2579.0,NOCODE,164,heterosexual,No,Woman (including Trans Female/Trans Woman),No,20,Female,Black,Congo the Democratic Republic of the,South Africa,Congo the Democratic Republic of the,English,Yes,Part-Time
656dea0ec5b00aa256de8560,60984a1b0cce76d16c4ca781,APPROVED,2023-12-04T15:02:38.501000Z,2023-12-04T15:20:20.891000Z,2023-12-12T11:38:41.658000Z,2023-12-04T15:20:21.538864Z,1063.0,NOCODE,745,heterosexual,No,Woman (including Trans Female/Trans Woman),No,34,Female,White,Spain,Spain,Spain,Spanish,Yes,Full-Time
656debd06476def38777ab71,6522a42f39b5bd8f96735aa9,APPROVED,2023-12-04T15:10:08.008000Z,2023-12-04T15:42:54.084000Z,2023-12-13T15:34:12.293000Z,2023-12-04T15:42:54.887541Z,1967.0,NOCODE,35,heterosexual,No,Woman (including Trans Female/Trans Woman),No,27,Female,White,Poland,Poland,Poland,Polish,Yes,Full-Time
656defb5211ddfde472dc6c1,65107bf7698f1e129de87140,APPROVED,2023-12-04T15:26:52.040000Z,2023-12-04T15:40:37.694000Z,2023-12-12T13:02:19.755000Z,2023-12-04T15:40:38.333556Z,826.0,NOCODE,162,heterosexual,No,Woman (including Trans Female/Trans Woman),No,58,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
656df3b65c234e4fd52ab7fe,653c167f04f12a7a7f048227,APPROVED,2023-12-04T15:43:50.910000Z,2023-12-04T16:24:19.866000Z,2023-12-12T13:09:10.862000Z,2023-12-04T16:24:20.507393Z,2429.0,NOCODE,50,heterosexual,No,Woman (including Trans Female/Trans Woman),No,18,Female,White,Poland,Poland,Poland,Polish,No,Part-Time
656df99dad412ee66cbd000c,61644a9055a7fdced6a7aa9c,APPROVED,2023-12-04T16:12:00.539000Z,2023-12-04T16:46:40.607000Z,2023-12-12T12:18:39.029000Z,2023-12-04T16:46:42.066866Z,2081.0,NOCODE,576,heterosexual,No,Woman (including Trans Female/Trans Woman),No,29,Female,Black,South Africa,South Africa,South Africa,English,No,Part-Time
656df9a03440ab6b0d7f05b3,60f48590426f008f3df3f9ea,APPROVED,2023-12-04T16:09:08.316000Z,2023-12-04T16:36:35.424000Z,2023-12-12T11:00:03.471000Z,2023-12-04T16:36:35.921946Z,1648.0,NOCODE,477,heterosexual,No,Woman (including Trans Female/Trans Woman),No,29,Female,Asian,South Africa,South Africa,South Africa,English,No,Full-Time
656e06259127e7ee4f8c5e13,6509afd5de37875b4dbed467,APPROVED,2023-12-04T17:02:29.941000Z,2023-12-04T17:17:06.227000Z,2023-12-13T15:34:14.034000Z,2023-12-04T17:17:07.024158Z,877.0,NOCODE,77,heterosexual,No,Woman (including Trans Female/Trans Woman),No,21,Female,White,Poland,Poland,Poland,Polish,Yes,Part-Time
657040032fecf8b7dbfb8b88,6156fef09d1ab07148870099,APPROVED,2023-12-06T09:33:59.050000Z,2023-12-06T09:55:10.980000Z,2023-12-13T15:34:16.238000Z,2023-12-06T09:55:12.309284Z,1272.0,NOCODE,1658,heterosexual,No,Woman (including Trans Female/Trans Woman),No,47,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
656602bc0e4884a008255de0,6515cb3bd67f199524df3a64,RETURNED,2023-11-28T15:10:54.862000Z,,,,,,15,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6567310dc0da06192bf8349c,5b2a72f7c293b90001732b89,RETURNED,2023-11-29T12:49:41.279000Z,,,,,,1688,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
656daee5897e33a03726df9b,5baf6705848bbd0001d6fc8a,RETURNED,2023-12-04T10:58:15.700000Z,,,,,,1757,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
656db7e2f186b639a36e4486,5d8b66f5d189bd001a378273,APPROVED,2023-12-04T11:28:36.514000Z,2023-12-04T11:57:14.406000Z,2023-12-12T11:25:07.586000Z,2023-12-04T11:57:15.509000Z,1718.0,NOCODE,2220,heterosexual,No,Woman (including Trans Female/Trans Woman),No,45,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
656df7195e6a8a12d300fb6c,614b55e22ff3944a165736bb,RETURNED,2023-12-04T16:09:00.071000Z,,,,,,658,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
