IRI,Label,Labels,Def,Pruned,Modified,
http://purl.obolibrary.org/obo/GSSO_003665,intersectional theory,"['intersectional theory', 'intersectionality', 'intersectional', 'intersectional feminism']",A qualitative analytic framework that identifies how interlocking systems of power affect those who are most marginalized in society.,,,
http://purl.obolibrary.org/obo/GSSO_001498,intersex condition,"['intersex condition', 'intersex conditions', 'condition affecting reproductive development', 'intersex spectrum', 'intersex trait', 'intersex variation', 'congenital eunuchism', 'hermaphroditism', 'intersex disorder']","Any of various conditions, states, or statuses considered intersex.",,,
http://purl.obolibrary.org/obo/GSSO_006819,killing,"['killing', 'killings', 'kill', 'killed', 'kills']",An event in which an organism is killed.,,,
http://purl.obolibrary.org/obo/GSSO_011155,lesbian,"['lesbian', 'lesbian orientation', 'lesbian sexual orientation']","A sexual orientation describing someone with a female gender identity who is attracted to those with female gender identities, or attraction to those identifying within a feminine gender-area (including transfeminine persons, femme nonbinary people, nonbinary women, demigirls, etc.).",,,
http://purl.obolibrary.org/obo/GSSO_009028,liberalism,['liberalism'],"A political and moral philosophy based on liberty, consent of the governed and equality before the law.",,,
http://purl.obolibrary.org/obo/GSSO_007921,licking,"['licking', 'licking behavior', 'lick', 'licked', 'licks']",The act of stroking or touching with the tongue.,,,
http://purl.obolibrary.org/obo/GSSO_005100,lingerie,['lingerie'],"Underwear or nightclothes, especially when lacy or designed to be seductive.",,,
http://semanticscience.org/resource/SIO_000412,love,"['love', 'loved', 'loves', 'loving']","Affection; in psychiatry commonly refers to pleasure, particularly as it applies to gratifying experiences between individuals.",,,
http://semanticscience.org/resource/SIO_000853,lust,"['lust', 'erotic interest', 'sexual desire', 'sexual interest']",Lust is the strong desire for sex.,,,
http://purl.obolibrary.org/obo/GSSO_000090,male gender identity,"['male gender identity', 'male', 'M', 'male identity', 'male gender identity datum', 'identifies as male gender']",Having an identity considered male.,,,
http://purl.obolibrary.org/obo/GSSO_000370,man,"['man', 'men', 'boy', 'self-identifies as male']","A person whose identity is male, based on societal and cultural conceptualizations of being male, usually (but not always) reflected by specific anatomical variations, chromosome combinations, and/or sex hormones.",,,
http://purl.obolibrary.org/obo/GSSO_000376,man who has sex with men,"['man who has sex with men', 'male who has sex with males', 'men who has sex with men', 'MSM', 'gay, bisexual and other men who have sex with men', 'man who has sex with men and transgender women', 'self-identified man who has sex with men']","Male persons who engage in sexual activity with members of the same sex, regardless of how they identify themselves.",,,
http://purl.obolibrary.org/obo/GSSO_009742,marital abandoment,"['marital abandoment', 'abandonment', 'spousal abandonment', 'marital desertion', 'spousal desertion']",Deliberate and voluntary abandonment of a marital partner with the intention of ending the marriage agreement without justification and without intent of reunion.,,,
http://purl.obolibrary.org/obo/GSSO_001968,marital partner,"['marital partner', 'marital partners', 'married partner', 'spouse', 'husband', 'wife']",A partner in marriage.,,,
http://purl.obolibrary.org/obo/GSSO_003838,marriage,"['marriage', 'marriages']","A culturally recognized union between people, called spouses. The definition of marriage varies around the world, not only between cultures and between religions, but also throughout the history of any given culture and religion. ",,Summary,
http://purl.obolibrary.org/obo/NCIT_C51773,married,"['married', ""I'm married"", 'is married']",Indicates a person currently joined in a legally binding matrimonial union. Classify common law marriage as married. Includes married couples living together and not living together.,,,
http://purl.obolibrary.org/obo/GSSO_000095,masculine gender expression,"['masculine gender expression', 'masc', 'masculine', 'masculine-presenting']","Usage of clothing, behavior, posture, mannerisms, speech patterns, and activites, among other things, to indicate a male gender identity or gender role.",,,
http://purl.obolibrary.org/obo/GSSO_001389,masturbation,"['masturbation', 'manustupration', 'peripheral excitement', 'masturbation, NOS', 'onanism']",Sexual stimulation or gratification of the self.,,,
http://purl.bioontology.org/ontology/MESH/D008598,menstruation,"['menstruation', 'menstruations', 'desquamation phase', 'menstrual', 'menstrual period', 'menstrual phase', 'menstrual period', 'menstruate', 'menstruated', 'menstruates', 'menstruating', 'period', 'shark-week']",The normal physiologic discharge through the vagina of blood and mucosal tissues from the nonpregnant uterus.,,,
http://purl.obolibrary.org/obo/GSSO_006562,mocking,"['mocking', 'mockery']","The act of insulting or making light of a person or other thing, sometimes merely by taunting, but often by making a caricature, purporting to engage in imitation in a way that highlights unflattering characteristics.",,,
http://purl.obolibrary.org/obo/GSSO_005860,model,"['model', 'models', 'fashion model']","A person who serves as a subject for artwork or fashion, usually in the medium of photography but also for painting or drawing.",,,
http://purl.obolibrary.org/obo/GSSO_003890,molly,"['molly', 'mollies', 'mally', 'molley', 'mollie']","Derogatory term for a feminine gay man, or any man considered feminine.",,,
http://purl.obolibrary.org/obo/GSSO_005680,murder,"['murder', 'murders']","The unlawful killing of another human without justification or valid excuse, especially the unlawful killing of another human with malice aforethought.",,,
http://purl.org/sig/ont/fma/fma54326,nail,"['nail', 'nails']",A horn-like keratin structure covering the dorsal aspect of the terminal phalanges of fingers and toes.,,,
http://purl.obolibrary.org/obo/GSSO_003739,nancy,"['nancy', 'Nancy', 'Miss Nancy', 'nancy boy']",An feminine man suspected of homosexual tendencies or relations.,,,
http://purl.obolibrary.org/obo/GSSO_005045,necktie,"['necktie', 'neckties', 'tie']","A long piece of cloth, worn, usually by men, for decorative purposes around the neck, resting under the shirt collar and knotted at the throat.",,,
http://purl.obolibrary.org/obo/GSSO_011301,normativism,"['normativism', 'normative', 'normativist', 'normativity']","An ideology which advocates in regard to the primacy of or the desirability of social norms, or the current socio-political norm; contrast with deviationism.",,,
http://purl.obolibrary.org/obo/GSSO_004010,nude,"['nude', 'in the nude', 'nakedness', 'nudity']",The state of being nude.,,,
http://semanticscience.org/resource/SIO_000398,nurse,"['nurse', 'nurses']","A nurse is a person whose job is to care for people who are ill or injured, especially in a hospital.",,Cambridge English Dictionary (too long),
http://purl.obolibrary.org/obo/GSSO_003755,offensiveness,"['offensiveness', 'offended', 'offensive']","The quality of being offensive; i.e. causing offense or arousing a visceral reaction of disgust, anger, or hatred.",,,
http://purl.obolibrary.org/obo/GSSO_005319,orgasm phase,"['orgasm phase', 'orgasm', 'orgasmic phase', 'female orgasm phase', 'male orgasm phase', 'acmegenesis', 'cumming', 'orgasmic', 'sexual climax']","Orgasm is the sudden discharge of accumulated sexual excitement during the sexual response cycle, resulting in rhythmic muscular contractions in the pelvic region characterized by sexual pleasure.",,,
http://purl.obolibrary.org/obo/GSSO_001764,pansy,"['pansy', 'pansies']","A pejorative term for a feminine man, a gay man, a transfeminine person, or a trans woman.",,,
http://purl.obolibrary.org/obo/GSSO_006667,pap smear,"['pap smear', 'pap smears', 'Pap test', 'Papanicolaou test', 'pap test', 'Pap smear']",A biospecimen collection and staining procedure in which secretions and superficial cells of the cervix are collected and stained with the Papanicolaou stain followed by microscopic examination to identify the presence of abnormal cells.,,,
http://purl.obolibrary.org/obo/GSSO_001953,parent,"['parent', 'parents', 'ren', 'father', 'mother', 'ren', 'parental']",A caretaker and/or immediate progenitor of a child.,,,
http://purl.obolibrary.org/obo/GSSO_001954,partner,"['partner', 'partners', 'significant other', 'boyfriend', 'girlfriend', 'domestic partner']","A spouse or other person with whom one shares a domestic, romantic or sexual bond.",,,
http://purl.obolibrary.org/obo/GSSO_001265,pedophilia,"['pedophilia', 'paedophilia', 'p√¶dophilia', 'korophilia', 'pederosis', 'paidophilia']",Sexual attraction to children by adults.,,,
http://purl.obolibrary.org/obo/GSSO_001289,pedophilic behavior,"['pedophilic behavior', 'pedophilic behaviors', 'pedophilism']","Sexual behavior involving young adolescents or children in a sense that is nonnormative and typically criminal in the given society, such as child rape in the contemporary United States.",,,
http://purl.obolibrary.org/obo/GSSO_001951,pibling,"['pibling', 'piblings', 'ommer', 'aunt', 'uncle']",A sibling of a parent.,,,
http://purl.obolibrary.org/obo/GSSO_002664,plastic surgery,['plastic surgery'],The branch of surgery concerned with therapeutic or cosmetic reformation of tissue.,,,
http://purl.obolibrary.org/obo/GSSO_000595,pornographic film,"['pornographic film', 'pornographic films', 'porn film', 'porno', 'adult film', 'skin flick']",A sex film which does not usually claim any artistic merit.,,,
http://purl.obolibrary.org/obo/GSSO_003451,pornography,"['pornography', 'porn']",The portrayal of sexual subject matter for the exclusive purpose of sexual arousal.,,,
http://purl.obolibrary.org/obo/GSSO_001786,PrEP,"['pre-exposure prophylaxis', 'PrEP']","The use of drugs to prevent disease in people who have not yet been exposed to a disease-causing agent, usually a virus.",,,
http://purl.obolibrary.org/obo/GSSO_000835,premarital coitus,"['premarital coitus', 'premarital sex', 'premarital sexual intercourse', 'pre-marital coitus']",Coitus and/or sexual intercourse practiced by persons before they are married.,,,
http://purl.obolibrary.org/obo/GSSO_003806,pussy,"['pussy', 'pussies']",Slang for vagina; sometimes used generally as slang for femininity.,,,
http://purl.obolibrary.org/obo/GSSO_000155,queen,"['queen', 'queens', 'kween', 'queenie']",A gay man who is considered to be feminine.,,,
http://purl.obolibrary.org/obo/GSSO_012413,queer,"['queer', 'queerness']",A multifaceted term used as an umbrella term for being non-cisgender and/or non-heterosexual.,,,
http://purl.obolibrary.org/obo/GSSO_003041,rape,"['rape', 'rapes']",A type of sexual assault usually involving sexual intercourse or other forms of sexual penetration carried out against a person without that person's consent. ,,Summary,
http://purl.obolibrary.org/obo/GSSO_010062,rapist,"['rapist', 'rapists']","An individual or individuals who have been convicted of rape (as well as those in which substantive evidence, contemporary or historical, makes it extremely likely that they were or are guilty of rape).",,,
http://purl.obolibrary.org/obo/GSSO_000717,relationship,"['relationship', 'relationships']",A relationship represents a directional (binary) association between two entities in which the observed entity is associated to the given entity.,,,
http://purl.obolibrary.org/obo/UBERON_0001968,semen,"['semen', 'cum', 'jizz']",Organism substance that is composed of sperm cells suspended in seminal fluid.,,,
http://purl.obolibrary.org/obo/NCIT_C28421,sex,"['sex', 'sexes']","Characteristics of reproductive structure, functions, phenotype, and genotype, differentiating the male from the female organism. In practice, many cases occur where a majority of characteristics occur aligning with ""maleness"" or ""femaleness"", with a minority not fitting those expectations. ",,Summary,
http://purl.obolibrary.org/obo/GSSO_006546,sex trafficking,"['sex trafficking', 'human trafficking for prostitution']","Human trafficking for the purpose of sexual exploitation, including sexual slavery.",,,
http://purl.obolibrary.org/obo/GSSO_002797,sexism,"['sexism', 'genderism']","Discrimination based on aspects of a person's sex- or gender-related characteristics, or the perception of such characteristics.",,,
http://purl.bioontology.org/ontology/MESH/D012746,sexual abstinence,"['sexual abstinence', 'abstinence', 'sex abstinence', 'abstinence, sexual', 'sexually abstinent', 'virginity', 'sexually abstinent behavior']",Refraining from sexual intercourse for any reason.,,,
http://purl.obolibrary.org/obo/GSSO_003311,sexual harassment,"['sexual harassment', 'overt sexual harassment', 'sexual harassment by female', 'sexual harassment by male', 'sexual harassment in the workplace', 'sexual harassment, NOS', 'sexually harassed', 'sexually harassing']",Sexual harassment includes a range of actions from mild transgressions to sexual abuse or sexual assault.,,,
http://purl.obolibrary.org/obo/GSSO_000414,sexuality,"['sexuality', 'sexualities']","The sexual functions, activities, attitudes, and orientations of an individual.",,,
http://semanticscience.org/resource/SIO_000865,shame,"['shame', 'shameful']","A painful emotion resulting from a feeling of inadequacy, embarrassment, or guilt.",,,
http://purl.obolibrary.org/obo/GSSO_006855,shaving,['shaving'],"The removal of hair, by using a razor or any other kind of bladed implement.",,Summary,
http://purl.obolibrary.org/obo/GSSO_002432,she,['she'],"Used as the subject of a verb to refer to a woman, girl, or female animal that has already been mentioned:",,Cambride English Dictionary,
http://purl.obolibrary.org/obo/GSSO_005526,shit,"['shit', 'shits', 'shat', 'shitting']","Solid waste that is released from the bowels of a person or animal. Insults, criticism, or unkind or unfair treatment.",,Cambride English Dictionary,
http://purl.obolibrary.org/obo/GSSO_008541,shoving,"['shoving', 'shove', 'shoved', 'shoves']",To push someone roughly.,,,
http://purl.obolibrary.org/obo/GSSO_001955,sibling,"['sibling', 'siblings', 'emmer', 'brother', 'sister']",A person who shares a parent.,,,
http://purl.obolibrary.org/obo/GSSO_007823,single person,"['single person', 'single people', 'single persons', 'single']","A person who is unmarried. In common usage, a person who is not involved in any type of serious romantic and/or sexual relationship.",,,
http://purl.obolibrary.org/obo/GSSO_005826,sissy,"['sissy', 'sissies', 'sissy boy']","A pejorative term used to describe feminine boys or men, with connotations of cowardice or same-sex sexual interest.",,,
http://purl.obolibrary.org/obo/GSSO_004273,slut,"['slut', 'sluts']",A woman who has sexual relationships with a lot of men without any emotional involvement.,,Cambride English Dictionary,
http://purl.obolibrary.org/obo/GSSO_004500,snowflake,"['snowflake', 'snowflakes', 'Generation Snowflake', 'special snowflake']","Derogatory slang referring to someone who has (or appears to have) an inflated sense of uniqueness, an unwarranted sense of entitlement, or are overly-emotional, easily offended, and unable to deal with opposing opinions.",,,
http://purl.obolibrary.org/obo/GSSO_005824,sodomite,"['sodomite', 'sodomites', 'sod', 'sodomist']",A person who engages in sodomy.,,,
http://purl.obolibrary.org/obo/GSSO_009188,sucking,"['sucking', 'sucking behavior']",Any suction exerted by the mouth; response of the mammalian infant to draw milk from the breast. Includes sucking on inanimate objects.,,,
http://purl.obolibrary.org/obo/GSSO_009553,thot,"['thot', 'thots']",Slang term for a woman who is considered sexually promiscuous.,,,
http://purl.obolibrary.org/obo/GSSO_007863,tom,"['tom', 'toms', 'tom identity']","In Thai culture, an assigned female at birth person who is gay or bisexual and dresses and acts in a stereotypically masculine fashion. Toms typically engage in relationships in dees (similar to butch-femme relationships).",,,
http://purl.obolibrary.org/obo/GSSO_002748,tomboy,"['tomboy', 'tomboys', 'masculinism in girl', 'masculinity in a girl', 'tomboyishness']",A girl who behaves in a manner perceived as typically boyish.,,,
http://purl.org/sig/ont/fma/fma54640,tongue,"['tongue', 'tongues']","A muscular organ in the mouth that is covered with pink tissue called mucosa, tiny bumps called papillae, and thousands of taste buds. The tongue is anchored to the mouth and is vital for chewing, swallowing, and for speech.",,,
http://purl.obolibrary.org/obo/GSSO_000346,top,"['top', 'tops', 'giver', 'penetrative partner', 'pitcher', 'topping']","Someone, typically a man, who is penetrating someone else during sexual intercourse or someone who has a preference for penetrating during such intercourse.",,,
http://purl.obolibrary.org/obo/GSSO_002096,torture,['torture'],"The intentional infliction of physical or mental suffering upon an individual or individuals, including the torture of animals.",,,
http://purl.obolibrary.org/obo/GSSO_000096,transgender,"['transgender', 'trans', 'TG', 'T', 'transgender and nonbinary', 'cross-gender identification', 'transgender identity', 'transfolk', 'transgenders', 'transgendered', 'cross-gender identity']","Transgender people have a gender identity or gender expression that differs from their assigned sex. In some select cases, transgender people are sometimes called transsexual if they desire medical assistance to transition from one sex to another. ""Transgender"" is also an umbrella term: in addition to people whose gender identity is the opposite of their assigned sex (trans men and trans women), it may include people who are not exclusively masculine or feminine (people who are genderqueer or non-binary, including bigender, pangender, genderfluid, or agender). Other definitions of transgender also include people who belong to a third gender, or else conceptualize transgender people as a third gender.",,,
http://purl.obolibrary.org/obo/GSSO_006119,unwanted sexual contact,"['unwanted sexual contact', 'unwelcome sexual contact', 'unwanted sexual touching', 'fondling', 'groping', 'unwelcome sexual advance']",Sexual contact which is unreciprocated. A form of sexual harassment and also of sexual assault. This includes a perpetrator forcing a victim to engage in sexual contact.,,,
http://purl.obolibrary.org/obo/UBERON_0001088,urine,"['urine', 'pee']",Excretion that is the output of a kidney.,,,
http://purl.obolibrary.org/obo/UBERON_0000996,vagina,"['vagina', 'vaginas', 'vagin√¶', 'mangina', 'neovagina', 'vaginal', 'vaginally']","A fibromuscular tubular tract leading from the uterus to the exterior of the body in female placental mammals and marsupials, or to the cloaca in female birds, monotremes, and some reptiles.",,,
http://purl.obolibrary.org/obo/NCIT_C93214,violence,"['violence', 'act of violence', 'atrocity', 'violent']",An act of aggression between individuals.,,,
http://purl.obolibrary.org/obo/GSSO_008782,wedding dress,"['wedding dress', 'wedding dresses', 'bridal dress', 'bridal gown', 'wedding gown']",The dress worn by the bride during a wedding ceremony.,,,
http://purl.obolibrary.org/obo/GSSO_008866,whataboutism,"['whataboutism', 'whataboutery']",A variant of the tu quoque logical fallacy that attempts to discredit an opponent's position by charging them with hypocrisy without directly refuting or disproving their argument.,,,
http://purl.obolibrary.org/obo/GSSO_003926,whore,"['whore', 'whores']","A person, usually a woman, who is considered sexually promiscuous or engaging in sex work.",,,
http://purl.obolibrary.org/obo/GSSO_007915,wizard,"['wizard', 'wizards', 'mage', 'enchanter', 'enchantress', 'sorcerer', 'sorcereress', 'warlock', 'witch']",A person who uses magic.,,,
http://purl.obolibrary.org/obo/GSSO_000369,woman,"['woman', 'women', 'girl', 'self-identifies as female']","A person whose identity is female, based on societal and cultural conceptualizations of being female, usually (but not always) reflected by specific anatomical variations, chromosome combinations, and/or sex hormones.",,,
http://purl.obolibrary.org/obo/GSSO_010072,worship,['worship'],"An act of religious devotion, usually directed towards a deity.",,,
http://purl.obolibrary.org/obo/GSSO_004036,aunt,"['aunt', 'aunti']","An older, stereotypically feminine, and ""gossipy"" gay man.",Added,,
http://purl.obolibrary.org/obo/GSSO_004007,cuckhold fetishist,"['cuckhold fetishist', 'cuckoldress', 'cuckoldri', 'cuckquean', 'cuck', 'cuckold', 'cuckhold fetish']",The husband of an adulterous wife. ,Added,Summary,
http://purl.obolibrary.org/obo/GSSO_001406,dyke,"['dyke', 'dike']","A slang noun meaning lesbian; it is also a slang adjective describing things associated with being a lesbian. It originated as a homophobic and misogynistic slur for a masculine, butch, tomboyish, or androgynous woman. While pejorative use of the word still exists, the term dyke has been reappropriated by many lesbians as a word implying assertiveness and toughness, or simply as a neutral synonym for lesbian.",Added,,
http://purl.org/sig/ont/fma/fma53669,eyelashe,"['eyelashe', 'eyelash']",Any of the short hairs that grow on the edge of the eyelid.,Added,,
http://purl.obolibrary.org/obo/GSSO_001437,fairi,['fairi'],A feminine gay man.,Added,,
http://purl.obolibrary.org/obo/GSSO_004205,hunk,['hunk'],"A muscular, handsome gay man.",Added,,
http://purl.obolibrary.org/obo/GSSO_009151,jungl fever,"['jungl fever', 'black racial fetish']","Fetishization of a person of African descent, including, but not limited to, having strong preferences for Black persons when dating.",Added,,
http://purl.org/sig/ont/fma/fma19639,penil prepuc,"['penil prepuc', 'male prepuc', 'prepuc of peni', 'foreskin', 'prepuc']",A retractable double-layered fold of skin and mucous membrane that covers the glans penis and protects the urinary meatus when the penis is not erect.,Added,,
http://purl.obolibrary.org/obo/GSSO_008928,sir,['sir'],"Used as a formal and polite way of speaking to a man, especially one who you are providing a service to or who is in a position of authority.","Added, Cambridge English Dictionary",,
http://purl.obolibrary.org/obo/GSSO_001392,sodomi,"['sodomi', 'androsodomi']","Sodomy was generally used to refer to anal or oral sex between people or sexual activity between a person and a non-human animal (bestiality), but it may also sometimes refer to any non-procreative sexual activity.",Added,,
http://purl.obolibrary.org/obo/GSSO_000161,tr nny,"['tr nny', 't word', 'tranni', 't slur', 'tranner']","A transgender person, usually a transgender woman. Originally a shortening of transvestite. Generally considered derogatory, offensive. Debate over the term‚its offensiveness occurred in the early 2010s, but by 2017, the term was banned by several media stylebooks and labeled as hate speech by Facebook.",Added,,
http://purl.obolibrary.org/obo/GSSO_007276,transgend law center,"['transgend law center', 'tlc']",Transgender Law Center (TLC) is the largest national trans-led organization advocating for a world in which all people are free to define themselves and their futures.,"Added, Google",,